language,n,accuracy,mean_conf,ece,brier,overconfidence,auroc,auarc,experiment,model,dataset,n_shots
amh,797,0.27352572145545795,0.5664572277137895,0.29293150625833153,0.2949548678684962,0.29293150625833153,0.5844702191377098,0.3195134877900233,gemma4_12b_uhura_truthfulqa,gemma4_12b,uhura_truthfulqa,0
eng,809,0.3288009888751545,0.5397135005856326,0.21210293556541684,0.26014819376887055,0.2109125117104781,0.6477035129259614,0.4236404136377042,gemma4_12b_uhura_truthfulqa,gemma4_12b,uhura_truthfulqa,0
hau,808,0.3972772277227723,0.6180242584040849,0.22257205452954415,0.29384478941423153,0.22074703068131263,0.59902000294255,0.4578638561856686,gemma4_12b_uhura_truthfulqa,gemma4_12b,uhura_truthfulqa,0
nso,808,0.3787128712871287,0.6088300342164418,0.23217619608829515,0.30967047753265764,0.23011716292931306,0.5632177173658308,0.3863698346966612,gemma4_12b_uhura_truthfulqa,gemma4_12b,uhura_truthfulqa,0
swa,807,0.32837670384138784,0.6011915807756497,0.2728148769342618,0.3115053559913218,0.2728148769342619,0.5691707860474831,0.3611226423466535,gemma4_12b_uhura_truthfulqa,gemma4_12b,uhura_truthfulqa,0
yor,809,0.3288009888751545,0.5826994124316461,0.2557178945343928,0.291262253792016,0.2538984235564916,0.6033869203395228,0.3837048141954158,gemma4_12b_uhura_truthfulqa,gemma4_12b,uhura_truthfulqa,0
zul,778,0.34318766066838047,0.6090624104888396,0.26587474982045917,0.32125164866313227,0.2658747498204591,0.5356684770260267,0.37392154819143686,gemma4_12b_uhura_truthfulqa,gemma4_12b,uhura_truthfulqa,0
amh,792,0.3106060606060606,0.6934838979457966,0.3833134244713518,0.3781483887950734,0.38287783733973596,0.5731632865779208,0.3620150881516747,gemma4_12b_uhura_truthfulqa_5shot,gemma4_12b,uhura_truthfulqa,5
eng,804,0.2835820895522388,0.585925956437392,0.30376270456026444,0.3220465983319731,0.3023438668851532,0.565667641325536,0.30318943461614406,gemma4_12b_uhura_truthfulqa_5shot,gemma4_12b,uhura_truthfulqa,5
hau,803,0.3026151930261519,0.6422996709533825,0.33968447792723044,0.34237514728396223,0.33968447792723055,0.58369341563786,0.34836067869608767,gemma4_12b_uhura_truthfulqa_5shot,gemma4_12b,uhura_truthfulqa,5
nso,803,0.28019925280199254,0.6653680873392231,0.3851688345372306,0.3631236865448468,0.3851688345372306,0.6080968858131488,0.33578166332141157,gemma4_12b_uhura_truthfulqa_5shot,gemma4_12b,uhura_truthfulqa,5
swa,802,0.3092269326683292,0.6327393684081009,0.3247503517497507,0.3440955700152216,0.3235124357397717,0.5357662746011412,0.33031252741732653,gemma4_12b_uhura_truthfulqa_5shot,gemma4_12b,uhura_truthfulqa,5
yor,804,0.36069651741293535,0.5728491930596864,0.21215267564675105,0.29144265942577263,0.21215267564675105,0.5704481416879109,0.3952102644390385,gemma4_12b_uhura_truthfulqa_5shot,gemma4_12b,uhura_truthfulqa,5
zul,773,0.2858990944372574,0.6586329035200709,0.37397504018626887,0.3632123924148954,0.37273380908281345,0.5715374778674012,0.32754251993804734,gemma4_12b_uhura_truthfulqa_5shot,gemma4_12b,uhura_truthfulqa,5
amh,500,0.286,0.3687279484272003,0.08417272186279295,0.20723479338627276,0.08272794842720033,0.5720162190750426,0.35667098289734656,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
eng,500,0.526,0.5371050772070884,0.06170916253328325,0.22604197692682676,0.01110507720708842,0.6912290834416261,0.6607505963575389,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
ewe,500,0.288,0.4578439088463783,0.17450875908136368,0.25868317520123046,0.16984390884637834,0.5100070224719101,0.2948905085822623,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
fra,500,0.372,0.48098604881763457,0.11446874582767487,0.22465482385276664,0.10898604881763457,0.6704335319498664,0.5047565560477474,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
hau,500,0.304,0.4448991786241531,0.14089917862415313,0.24160839458100639,0.14089917862415313,0.5518186630369025,0.34887674420362774,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
ibo,500,0.258,0.4603640855550766,0.2023640855550766,0.24966181201962456,0.20236408555507657,0.5631960550784596,0.28577396233223346,qwen3_4b_instruct_afrimmlu,qwen3_4b_instruct,afrimmlu,0
